individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29
46;29;52;81;27;51;84;68;33;11;53;87;0;25;80;85;66;17;11;24;89;67;2;12;95;58;25;49;18;89
52;80;81;89;46;49;88;85;66;25;15;71;23;18;18;2;53;33;49;11;68;87;52;51;53;74;89;80;68;66
61;72;65;62;74;15;50;49;83;92;72;51;81;15;87;49;46;46;32;59;74;46;89;52;80;88;51;19;80;80
50;46;50;73;64;54;87;82;53;73;74;15;42;24;15;15;11;74;50;46;50;49;71;52;70;56;53;46;29;35
58;56;22;67;74;15;46;46;53;50;65;49;74;50;20;41;55;51;53;54;73;16;53;53;46;73;43;46;15;74
43;74;73;43;51;74;74;51;19;70;74;74;65;59;69;51;43;53;74;74;46;22;67;46;74;46;49;48;48;48
66;51;69;51;46;74;73;53;35;36;74;74;74;74;50;47;46;53;74;74;73;74;74;48;73;74;73;53;69;51
74;74;22;74;46;74;31;65;74;74;24;65;52;52;18;47;69;58;74;15;37;38;74;74;73;51;58;31;15;46
22;22;62;63;73;23;15;22;60;36;74;46;74;15;74;74;22;43;74;65;74;15;22;22;31;56;22;74;22;15
74;74;66;73;57;63;46;74;74;74;74;74;54;33;48;74;74;15;28;59;32;57;60;36;74;22;74;73;73;23
15;15;33;26;57;74;30;29;63;59;74;74;49;62;74;22;54;42;22;74;74;74;74;74;74;74;74;74;74;74
74;73;22;15;74;74;16;73;54;74;34;41;29;37;58;58;37;74;72;24;38;48;74;74;74;74;47;49;33;33
74;74;37;29;33;74;57;15;72;35;57;29;22;65;74;74;74;37;74;74;74;29;74;74;68;28;29;57;50;57
29;29;29;57;74;57;37;57;74;74;57;74;74;74;55;56;74;74;39;47;31;72;37;74;33;29;37;74;29;29
70;61;35;68;74;22;74;74;29;37;73;58;74;74;29;56;37;29;22;74;72;31;32;71;49;29;74;29;50;61
37;29;59;73;74;37;74;74;65;65;41;52;39;55;58;29;47;42;29;29;29;37;29;29;37;74;47;64;38;54
38;74;56;74;74;73;73;23;58;64;37;37;56;64;73;74;64;56;37;73;56;58;56;29;29;38;51;42;22;73
74;64;37;74;44;49;37;29;35;35;58;29;37;29;58;33;38;58;41;54;37;37;56;56;29;29;43;50;56;74
57;61;37;38;46;55;29;73;58;56;56;37;71;32;58;29;37;56;58;58;53;27;37;74;37;37;58;37;55;23
37;35;33;33;37;37;37;74;38;37;58;58;37;73;51;50;68;64;37;37;38;57;47;44;56;58;58;51;54;29
69;61;55;40;54;40;37;54;74;29;37;37;70;41;38;37;56;58;73;46;49;46;43;68;46;64;55;30;58;58
46;58;74;74;37;56;73;58;37;37;56;40;37;37;33;74;46;49;37;64;33;58;58;33;40;70;37;37;31;56
42;53;38;56;37;38;43;52;33;37;38;73;56;71;36;53;44;42;64;58;56;37;56;37;56;64;56;56;73;58
40;46;29;33;44;57;49;47;38;56;37;48;51;45;72;39;57;41;47;49;53;52;38;38;57;57;40;49;60;37
56;73;38;33;40;38;38;38;58;37;58;58;34;39;56;38;39;54;56;40;37;38;29;38;62;67;58;58;56;38
73;38;48;64;43;53;56;37;56;37;58;56;51;56;38;58;57;57;35;73;42;54;76;49;40;33;56;38;56;58
45;49;56;56;42;53;37;38;58;38;57;57;58;56;56;38;43;50;56;58;56;35;58;37;47;46;56;56;40;29
40;33;33;33;54;39;52;44;58;37;38;38;38;73;38;38;33;37;56;56;54;52;56;58;38;37;57;73;73;37
33;38;37;56;40;40;33;38;69;53;36;34;55;34;38;57;37;38;38;58;47;49;40;38;33;40;73;56;37;37
36;57;49;46;55;38;36;34;44;47;58;57;37;38;38;57;58;57;37;38;37;33;56;42;56;37;35;35;72;38
38;37;42;55;56;56;37;37;38;58;58;33;38;38;37;38;38;37;36;34;54;38;52;43;41;48;36;56;49;38
57;38;49;42;42;47;54;40;37;37;38;38;41;55;42;51;40;53;38;38;56;56;52;42;58;56;43;46;38;33
47;46;33;56;38;38;57;58;56;49;41;51;33;33;56;36;54;36;51;43;64;47;57;38;38;38;54;54;44;46
36;51;38;33;33;58;36;36;54;54;57;56;37;40;38;49;45;50;57;33;45;51;49;41;73;33;33;37;50;43
41;54;38;37;40;42;52;42;37;37;50;41;38;37;58;58;54;38;38;51;34;54;56;33;50;45;37;36;56;38
39;56;57;37;33;58;41;54;56;33;37;56;33;58;37;37;37;33;57;58;38;56;34;37;33;37;41;48;37;34
51;42;37;49;38;38;43;51;49;51;39;43;56;57;33;58;39;38;52;39;50;41;45;47;57;57;34;33;58;56
33;41;57;37;34;33;58;39;33;37;57;38;56;52;46;50;43;52;54;39;43;49;41;37;38;37;42;53;57;38
56;41;41;41;48;42;40;56;57;38;33;34;36;34;57;41;38;38;38;37;56;38;37;37;38;37;56;43;37;38
58;37;43;50;38;38;34;37;38;42;52;42;58;38;54;42;37;38;33;38;54;58;38;33;33;38;55;51;36;35
56;38;49;38;46;55;38;37;37;51;41;34;33;58;33;38;58;58;38;33;37;33;38;38;39;57;47;45;33;37
39;39;40;38;38;58;37;35;37;41;41;38;38;37;37;45;37;34;33;54;46;50;58;43;38;38;58;33;42;37
56;52;57;58;43;56;33;51;34;57;57;58;49;46;35;40;39;58;53;43;46;41;42;53;38;39;37;37;40;38
40;38;49;37;38;56;55;57;39;39;44;47;43;49;38;39;42;37;41;33;41;37;49;38;43;43;49;37;43;37
36;54;38;41;49;38;37;38;37;57;37;37;58;57;41;38;37;38;43;38;37;49;38;37;51;34;58;38;57;41
38;37;57;49;53;41;39;40;37;37;43;38;38;39;43;52;58;37;44;55;37;43;42;57;57;41;34;38;33;51
45;47;37;38;37;37;58;41;51;49;41;49;33;56;33;33;37;37;38;37;58;57;48;46;47;40;37;41;43;51
34;42;39;38;58;58;48;47;37;37;56;58;40;39;39;43;37;56;58;43;37;37;39;37;34;51;41;42;37;41
37;38;38;49;41;37;38;41;37;37;56;38;38;34;37;37;38;37;37;34;33;37;54;38;36;36;35;35;42;50
34;33;39;55;57;58;43;56;37;43;45;47;37;43;46;48;38;38;42;38;34;36;37;41;38;37;35;36;33;41
49;34;53;40;40;48;37;38;57;38;43;33;47;48;36;35;34;34;38;37;39;40;35;36;41;39;43;38;37;39
48;45;37;37;38;37;55;40;39;34;57;57;37;37;56;39;37;34;40;42;37;38;45;50;37;38;48;42;41;41
37;37;49;38;41;34;34;51;57;39;37;38;49;58;40;51;37;49;52;43;57;38;46;52;49;49;37;43;41;57
37;38;37;34;45;45;33;38;39;45;34;37;37;34;35;36;45;46;38;37;57;38;44;48;38;37;52;46;47;41
35;37;37;56;36;38;36;35;37;45;50;45;38;43;37;37;40;43;49;56;33;49;35;35;37;33;37;38;38;57
33;33;45;38;38;38;36;36;33;36;37;56;57;51;38;36;39;41;34;37;38;58;50;46;37;49;38;38;46;45
41;36;49;38;34;37;40;41;41;41;37;37;49;52;38;37;34;41;40;40;43;43;43;45;38;38;36;37;37;58
38;38;54;44;36;37;38;33;38;33;49;45;37;57;47;44;36;38;38;36;49;41;37;58;41;55;56;36;57;57
48;40;39;47;39;40;36;35;41;41;33;37;37;37;41;37;34;41;39;43;37;37;34;41;38;38;33;41;41;45
37;41;36;37;46;57;45;37;38;33;52;43;37;37;37;33;38;44;48;52;38;43;55;40;37;49;41;49;53;48
47;47;42;53;37;37;33;38;37;37;35;35;41;51;41;37;37;37;56;36;38;38;43;55;38;36;49;46;37;38
37;37;49;38;36;38;44;47;36;37;45;45;37;38;57;57;43;43;37;33;38;37;39;38;41;39;38;43;51;36
39;41;37;41;38;57;49;38;37;40;43;36;33;38;38;45;36;36;37;38;37;37;45;37;37;37;41;37;49;58
38;56;41;41;41;41;37;37;41;37;36;38;39;38;35;35;39;37;53;40;49;41;43;41;39;39;43;41;36;39
48;46;34;38;40;48;34;41;45;38;34;43;36;43;50;47;38;51;36;36;41;37;58;39;41;38;37;43;36;41
37;38;41;41;39;40;49;46;50;45;49;53;34;37;38;37;36;37;45;54;37;36;39;38;47;48;44;44;42;44
39;37;38;58;37;41;37;57;38;58;34;35;36;38;38;43;57;49;33;38;37;43;49;38;57;41;37;34;38;58
36;41;34;39;39;38;37;34;49;45;37;37;38;36;41;49;37;37;37;45;44;42;38;38;41;43;38;38;33;37
33;34;40;38;37;33;38;45;37;37;57;38;37;37;37;58;56;38;54;45;33;37;41;38;39;43;45;37;36;37
